;Ano;Nome do Evento;Edição do Evento;Cidade;País do Evento;Total de Amostras;Países Participantes;Data do Evento;Total de Prêmios;pais;continente
0;2010;Mondial du Merlot et Assemblages;3;Lugano;Suica;300.0;25.0;12 e 14 de novembro;6;Suica;Europa
1;2010;Mediterranean International Wine Challenge - Terravino;5;Masada;Israel;706.0;29.0;19 a 27 de novembro;2;Israel;Asia
2;2011;VinAgora International Wine Competition;12;Pécs;Hungria;501.0;19.0;16 a 19 de junho;3;Hungria;Europa
3;2011;Concours Mondial de Bruxelles;18;Luxemburgo;Luxemburgo;7386.0;49.0;6 e 8 de maio;2;Luxemburgo;Europa
4;2011;Concurso Internacional Tannat al Mundo Terruño de oro;4;Montevidéu;Uruguai;150.0;6.0;28 e 29 de novembro;2;Uruguai;America do Sul
5;2011;Effervescents du Monde;9;Dijon;Franca;500.0;24.0;16 e 17 de novembro;6;Franca;Europa
6;2011;Concurso Internacional de Vinos y Espirituosos - CINVE;4;Sevilha;Espanha;700.0;20.0;5 e 17 de novembro;10;Espanha;Europa
7;2011;IWSC - International Wine & Spirit Competition;2011;Londres;Inglaterra;8000.0;45.0;12 de outubro;11;Inglaterra;Europa
8;2011;VINUS - Concurso Internacional de Vinos y Licores;8;Mendoza;Argentina;466.0;24.0;3 a 6 de agosto;15;Argentina;America do Sul
9;2011;Vinoforum;2011;Krynica Zdrój;Polonia;318.0;15.0;14 a 17 de julho;3;Polonia;Europa
10;2011;Muscats du Monde;11;Monde;Franca;210.0;23.0;30 de junho e 1º de julho;7;Franca;Europa
11;2011;San Francisco International Wine Competition;31;São Francisco;Estados Unidos;4184.0;29.0;17 a 19 de junho;84;Estados Unidos;America do Norte
12;2011;Citadelles Du Vin;11;Bordeaux;Franca;;0.0;28 a 30 de maio;3;Franca;Europa
13;2011;CINVE - Concurso Internacional de Vinos y Espirituosos;6;Miami;Estados Unidos;282.0;15.0;19 a 22 de maio;9;Estados Unidos;America do Norte
14;2011;Sélections Mondiales des Vins;19;Quebec;Canada;1600.0;37.0;31 de maio a 6 de junho;4;Canada;America do Norte
15;2011;International Wine Challenge;27;Londres;Inglaterra;12000.0;48.0;11 a 21 de abril;25;Inglaterra;Europa
16;2011;Challenge International du Vin;35;Bordeaux;Franca;4624.0;38.0;26 e 27 de abril;4;Franca;Europa
17;2011;Vinitaly;45;Verona;Italia;3700.0;30.0;28 de março a 1º de abril.;5;Italia;Europa
18;2011;Thessaloniki International Wine and Spirits Competition;11;Thessaloniki;Grecia;667.0;7.0;8 a 10 de março;2;Grecia;Europa
19;2011;Chardonnay du Monde;18;Saint Lager;Franca;914.0;38.0;9 e 12 de março;4;Franca;Europa
20;2011;Vinalies Internationales;17;Paris;Franca;3000.0;0.0;25 de fevereiro a 1 de março;12;Franca;Europa
21;2011;Mundus Vini;8 e 9;Neustadt;Alemanha;6028.0;48.0;26 e 28 de agosto e 2 e 4 de setembro;2;Alemanha;Europa
22;2011;Vinandino;10;Mendoza;Argentina;740.0;14.0;9 e 17 de setembro;5;Argentina;America do Sul
23;2011;Concurso do Espumante Brasileiro;7;Garibaldi;Brasil;231.0;1.0;25 a 27 de outubro;72;Brasil;America do Sul
24;2012;Vinitaly;46;Verona;Italia;2300.0;40.0;25 a 28 de março;3;Italia;Europa
25;2012;Malbec al Mundo;7;Mendoza;Argentina;280.0;7.0;21 a 23 de novembro;1;Argentina;America do Sul
26;2012;Effervescents du Monde;10;Dijon;Franca;660.0;25.0;14 a 16 de novembro;13;Franca;Europa
27;2012;IWSC - International Wine & Spirit Competition;2012;Londres;Inglaterra;7800.0;75.0;Março a setembro;10;Inglaterra;Europa
28;2012;Mundus Vini;10 e 11;Neustadt;Alemanha;6019.0;46.0;24 a 26 de agosto e 31 de agosto a 02 de setembro;6;Alemanha;Europa
29;2012;Citadelles Du Vin;12;Bourg-sur-Gironde;Franca;;0.0;19 a 21 de maio;5;Franca;Europa
30;2012;Muscats du Monde;12;Frontignan la Peyrade;Franca;232.0;24.0;5 e 6 de julho;4;Franca;Europa
31;2012;San Francisco International Wine Competition;32;San Francisco;Estados Unidos;4556.0;29.0;15 a 17 de junho;16;Estados Unidos;America do Norte
32;2012;Concurso Internacional de Vinhos do Brasil;6;Bento Gonçalves;Brasil;503.0;17.0;03 a 06 de junho;148;Brasil;America do Sul
33;2012;VinAgora International Wine Competition;13;Budapeste;Hungria;630.0;20.0;15 a 17 de junho;3;Hungria;Europa
34;2012;Concours Mondial de Bruxelles;19;Guimarães;Portugal;8357.0;52.0;4 a 6 de maio;6;Portugal;Europa
