pais_origem;pais_destino;continente_pais_destino;produto;ano;quantidade_litro;valor_usd
Brasil;Africa do Sul;Africa;Espumante;2009;0;0
Brasil;Alemanha;Europa;Espumante;2009;6648;29018
Brasil;Angola;Africa;Espumante;2009;11393;33664
Brasil;Antigua e Barbuda;America do Norte;Espumante;2009;0;0
Brasil;Antilhas Holandesas;America do Norte;Espumante;2009;180;1660
Brasil;Argentina;America do Sul;Espumante;2009;0;0
Brasil;Aruba;America do Norte;Espumante;2009;0;0
Brasil;Australia;Oceania;Espumante;2009;0;0
Brasil;Bahamas;America do Norte;Espumante;2009;0;0
Brasil;Bangladesh;Asia;Espumante;2009;0;0
Brasil;Barbados;America do Norte;Espumante;2009;0;0
Brasil;Belgica;Europa;Espumante;2009;0;0
Brasil;Benin;Africa;Espumante;2009;0;0
Brasil;Bermudas;America do Norte;Espumante;2009;0;0
Brasil;Bolivia;America do Sul;Espumante;2009;0;0
Brasil;Bosnia-Herzegovina;Europa;Espumante;2009;0;0
Brasil;Bulgaria;Europa;Espumante;2009;0;0
Brasil;Cabo Verde;Africa;Espumante;2009;0;0
Brasil;Camaroes;Africa;Espumante;2009;0;0
Brasil;Canada;America do Norte;Espumante;2009;0;0
Brasil;Catar;Asia;Espumante;2009;0;0
Brasil;Cayman, Ilhas;America do Norte;Espumante;2009;0;0
Brasil;Chile;America do Sul;Espumante;2009;1673;8613
Brasil;China;Asia;Espumante;2009;0;0
Brasil;Chipre;Asia;Espumante;2009;0;0
Brasil;Cingapura;Asia;Espumante;2009;976;2784
Brasil;Colombia;America do Sul;Espumante;2009;0;0
Brasil;Coreia do Sul;Asia;Espumante;2009;0;0
Brasil;Costa Rica;America Central;Espumante;2009;0;0
Brasil;Cuba;America do Norte;Espumante;2009;0;0
Brasil;Curacao;America do Norte;Espumante;2009;0;0
Brasil;Dinamarca;Europa;Espumante;2009;0;0
Brasil;Dominica;America do Norte;Espumante;2009;0;0
Brasil;El Salvador;America Central;Espumante;2009;0;0
Brasil;Emirados Arabes Unidos;Asia;Espumante;2009;0;0
Brasil;Equador;America do Sul;Espumante;2009;0;0
Brasil;Espanha;Europa;Espumante;2009;0;0
Brasil;Estados Unidos;America do Norte;Espumante;2009;35695;200975
Brasil;Estonia;Europa;Espumante;2009;0;0
Brasil;Falkland (Malvinas);America do Sul;Espumante;2009;0;0
Brasil;Filipinas;Asia;Espumante;2009;0;0
Brasil;Finlandia;Europa;Espumante;2009;0;0
Brasil;Franca;Europa;Espumante;2009;0;0
Brasil;Gana;Africa;Espumante;2009;0;0
Brasil;Gibraltar;Europa;Espumante;2009;0;0
Brasil;Granada;America do Norte;Espumante;2009;0;0
Brasil;Grecia;Europa;Espumante;2009;0;0
Brasil;Guatemala;America Central;Espumante;2009;0;0
Brasil;Guiana;America do Sul;Espumante;2009;0;0
