Continente do País de Destino; Ano ; Quantidade em Litros ; Valor em US$ 
Africa;2009; 66.389 ; 118.286,00 
Europa;2009; 801.563 ; 1.194.355,00 
Asia;2009; 1.830.940 ; 819.016,00 
America do Norte;2009; 436.593 ; 952.660,00 
Europa/Asia;2009; 21.912.914 ; 5.732.280,00 
America Central;2009; 137 ; 204,00 
Oceania;2009; 1.014 ; 9.195,00 
America do Sul;2009; 554.629 ; 461.543,00 
Oceania;2010; 1.823 ; 17.960,00 
Europa;2010; 388.722 ; 1.431.701,00 
Europa/Asia;2010; -   ; -   
America do Sul;2010; 533.736 ; 508.437,00 
Asia;2010; 130.148 ; 114.672,00 
Africa;2010; 150.096 ; 912.805,00 
America Central;2010; 63 ; 110,00 
America do Norte;2010; 463.146 ; 705.250,00 
Oceania;2011; 6.510 ; 50.302,00 
Europa/Asia;2011; -   ; -   
America do Norte;2011; 432.273 ; 1.625.061,00 
America Central;2011; 114 ; 150,00 
Europa;2011; 429.624 ; 1.529.969,00 
Africa;2011; 16.871 ; 87.287,00 
America do Sul;2011; 273.811 ; 369.694,00 
Asia;2011; 167.513 ; 521.047,00 
Africa;2012; 10.736 ; 25.938,00 
America do Norte;2012; 299.409 ; 1.000.943,00 
Europa;2012; 587.561 ; 1.809.316,00 
Asia;2012; 125.418 ; 811.975,00 
Oceania;2012; 13.176 ; 76.940,00 
America Central;2012; 73 ; 2.292,00 
America do Sul;2012; 383.651 ; 503.830,00 
Europa/Asia;2012; 4.528.176 ; 2.103.968,00 
America do Sul;2013; 550.401 ; 887.523,00 
Africa;2013; 9.888 ; 37.946,00 
Asia;2013; 168.086 ; 870.213,00 
America Central;2013; -   ; -   
America do Norte;2013; 385.235 ; 1.389.728,00 
Europa/Asia;2013; 5.893.291 ; 14.795.694,00 
Oceania;2013; 18.628 ; 112.586,00 
Europa;2013; 2.338.231 ; 5.579.781,00 
Oceania;2014; 9.876 ; 61.889,00 
Europa;2014; 1.345.724 ; 6.013.359,00 
America do Norte;2014; 344.920 ; 949.394,00 
America Central;2014; -   ; -   
Europa/Asia;2014; 190.656 ; 61.440,00 
Africa;2014; 24.694 ; 57.530,00 
Asia;2014; 243.164 ; 1.191.487,00 
America do Sul;2014; 617.330 ; 1.247.112,00 
Asia;2015; 115.276 ; 418.560,00 
Europa;2015; 266.638 ; 1.189.728,00 
Europa/Asia;2015; 47.664 ; 18.240,00 
Oceania;2015; 8.714 ; 53.677,00 
America do Norte;2015; 345.968 ; 872.337,00 
Africa;2015; 1.908 ; 17.089,00 
America do Sul;2015; 557.593 ; 912.064,00 
America Central;2015; -   ; -   
Europa;2016; 290.057 ; 1.338.348,00 
Asia;2016; 209.838 ; 825.198,00 
America do Norte;2016; 375.681 ; 1.001.914,00 
Europa/Asia;2016; -   ; -   
America do Sul;2016; 1.061.675 ; 1.881.128,00 
Oceania;2016; 3.052 ; 25.873,00 
Africa;2016; 20.295 ; 74.234,00 
America Central;2016; -   ; -   
America Central;2017; -   ; -   
America do Norte;2017; 243.554 ; 1.836.867,00 
Africa;2017; 18.844 ; 117.398,00 
Asia;2017; 195.087 ; 675.637,00 
Oceania;2017; 3.819 ; 18.937,00 
Europa;2017; 155.332 ; 798.701,00 
America do Sul;2017; 2.529.682 ; 4.867.538,00 
Europa/Asia;2017; -   ; -   
Europa/Asia;2018; 48.125 ; 18.390,00 
